"Номер объявления","Регион размещения","Город","Адрес","Категория","Подкатегория","Параметр","Название объявления","Цена","Дата первой публикации","Дата снятия с публикации","Дней на Авито","Показы","Конверсия из показов в просмотры","Просмотры","Средняя цена просмотра","Конверсия из просмотров в контакты","Целевые просмотры","Контакты","Написали в чат","Посмотрели телефон","Посмотрели телефон и написали в чат","Откликнулись на скидку в чате","Средняя цена контакта","Добавили в избранное","Расходы на объявления","Списано бонусов на объявления","Расходы на размещение и целевые действия","Расходы на продвижение","Остальные расходы"
"7896924404","Все регионы","Москва","Москва","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике Подготовка к ЕГЭ/ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","121","14.87%","18","181.68","11.11%","18","2","2","0","0","0","1635.12","0","3270.25","0.00","3270.25","0.00","0.00"
"7896497086","Марий Эл","Йошкар-Ола","Йошкар-Ола","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","168","10.11%","17","134.82","11.76%","15","2","2","0","0","0","1146.00","0","2292.00","0.00","2292.00","0.00","0.00"
"7895976933","Ярославская область","Ярославль","Ярославль","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","164","9.75%","16","123.27","12.50%","16","2","1","0","1","0","986.19","0","1972.39","0.00","1972.39","0.00","0.00"
"7896488211","Челябинская область","Магнитогорск","Магнитогорск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","84","19.04%","16","148.33","12.50%","16","2","0","1","1","0","1186.71","1","2373.43","0.00","2373.43","0.00","0.00"
"7896404616","Пермский край","Пермь","Пермь","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","155","9.67%","15","156.83","20.00%","15","3","3","0","0","0","784.16","3","2352.48","0.00","2352.48","0.00","0.00"
"7896219544","Кировская область","Киров","Киров","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","98","10.20%","10","181.85","0.00%","10","0","0","0","0","0","","0","1818.50","0.00","1818.50","0.00","0.00"
"7896517209","Северная Осетия","Владикавказ","Владикавказ","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","98","10.20%","10","181.14","0.00%","10","0","0","0","0","0","","0","1811.43","0.00","1811.43","0.00","0.00"
"7896746725","Татарстан","Казань","Казань","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","116","8.62%","10","200.00","0.00%","10","0","0","0","0","0","","0","2000.00","0.00","2000.00","0.00","0.00"
"7895978049","Башкортостан","Уфа","Уфа","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","66","13.63%","9","139.50","22.22%","9","2","1","1","0","0","627.75","0","1255.50","0.00","1255.50","0.00","0.00"
"7896687122","Самарская область","Самара","Самара","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","60","10.00%","6","178.93","16.66%","6","1","1","0","0","0","1073.60","1","1073.60","0.00","1073.60","0.00","0.00"
"7896919839","Владимирская область","Владимир","Владимир","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","47","12.76%","6","110.29","0.00%","6","0","0","0","0","0","","1","661.75","0.00","661.75","0.00","0.00"
"7896168160","Астраханская область","Астрахань","Астрахань","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","87","4.59%","4","167.12","0.00%","4","0","0","0","0","0","","0","668.50","0.00","668.50","0.00","0.00"
"7896483501","Свердловская область","Екатеринбург","Екатеринбург","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","49","8.16%","4","184.31","0.00%","4","0","0","0","0","0","","1","737.24","0.00","737.24","0.00","0.00"
"7928011254","Ярославская область","Ярославль","Ярославль","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор по информатике ЕГЭ/ОГЭ","от 1 200 ₽ за услугу","2026-03-02","2026-04-01","2","164","1.82%","3","145.00","0.00%","3","0","0","0","0","0","","0","435.00","0.00","435.00","0.00","0.00"
"7895980922","Тюменская область","Тюмень","Тюмень","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","9","22.22%","2","17.60","0.00%","2","0","0","0","0","0","","0","35.20","0.00","35.20","0.00","0.00"
"7896032080","Омская область","Омск","Омск","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-01-27","2026-03-28","36","22","9.09%","2","17.60","0.00%","2","0","0","0","0","0","","1","35.20","0.00","35.20","0.00","0.00"
"7896482492","Ивановская область","Иваново","Иваново","Услуги","Предложение услуг","Предметы школы и ВУЗа","Репетитор Подготовка к ЕГЭ, ОГЭ","от 1 200 ₽","2026-02-02","2026-03-04","30","8","25.00%","2","14.90","0.00%","2","0","0","0","0","0","","0","29.80","0.00","29.80","0.00","0.00"
